subject,hfair,sfair,sfast,srest,gender
283,3,2,2,2,F
284,2,2,3,2,F
285,3,2,3,2,M
286,2,3,3,2,M
287,2,2,2,2,F
288,2,2,3,3,M
289,1,5,4,3,F
290,1,3,2,2,F
291,2,2,3,2,F
292,2,2,2,2,F
293,1,2,3,4,F
294,2,3,2,2,M
295,2,2,2,3,F
296,2,2,2,3,F
297,2,3,2,2,M
298,2,3,4,2,F
299,2,3,3,3,F
300,1,3,2,2,F
301,1,4,3,1,F
302,1,3,2,2,F
303,3,1,2,2,M
